"Indigenous","Illiteracy","Urbanisation","Density","Poverty","Poor_Sanitation","Unemployment","Timeliness","Year","TB","Population","Region","lon","lat","TB_rate","Predicted_Risk"
0.053139307,23.28173375,44.42446043,0.696258886,66.59956452,43.08443604,3.822000866,21.0526315789,2012,5,25005,23004,-40.208420819163,-3.73566973679138,0.0001999600079984,0.000119750359749133
0.058554159,23.20761485,73.88248207,0.68674386,62.84628207,14.26995578,7.798755704,35.9322033898,2012,255,389017,23005,-39.4830169698125,-5.80555080655405,0.000655498345830645,0.000286787605718496
0.899412762,29.76392516,58.28500324,0.606718469,71.14095428,21.54522775,6.703448276,28.2442748092,2012,49,137667,23006,-39.3025898244868,-5.0597166598796,0.000355931341570602,0.000217993283171353
0.019433648,28.53275998,53.73264853,0.58568023,72.40553893,36.37353931,6.422317247,33.3333333333,2012,27,72423,23007,-40.2725131955454,-6.25435276651493,0.000372809742761277,0.000167813384979452
0.215268069,23.43238671,49.16819451,0.704279902,73.79166727,43.64923911,7.751752608,28.3950617284,2012,49,212058,23008,-40.5210640371399,-5.23360995915334,0.000231068858519839,0.00019681856123771
0.111777355,20.12698579,59.26189055,0.693188181,65.9015863,23.46854018,6.988637678,32.2580645161,2012,32,108129,23009,-38.3317331111068,-5.86487306410678,0.000295942809052151,0.00024819256496406
0.041450777,24.87156702,64.20725389,0.768220416,72.76551936,18.68407272,9.817727708,36.5517241379,2012,46,103290,23010,-40.1178219757808,-4.39493024792652,0.000445348049181915,0.000355681135688293
0.020070364,25.81571691,53.25730207,0.670105473,71.46512509,23.7793032,8.452679019,56.8181818182,2012,29,86483,23011,-38.4856642784529,-4.15248493152039,0.000335326017830094,0.000286943971717851
0.040097839,26.60621087,58.91174466,0.673316142,71.72022684,29.85445725,9.341600083,55.0561797753,2012,23,126657,23012,-40.4961932865644,-3.58525008681631,0.000181592805766756,0.000286374477471113
0.207014972,25.05531096,51.61198868,0.676867005,69.87043935,25.98695981,6.202019606,26.6055045872,2012,39,189249,23013,-38.6978751134495,-5.71496858967134,0.000206077707147726,0.000215858572865885
0.036802944,28.85790347,43.4562765,0.610001953,69.90638899,33.00320747,8.312176775,22.641509434,2012,22,63278,23014,-39.3145803085494,-3.90009398719622,0.000347672176743892,0.000191372237596058
0.055167889,23.88014981,66.38635415,0.658394969,65.38012746,31.71433805,7.538503107,52.5252525253,2012,31,137114,23015,-40.6000143200826,-3.09906193228233,0.000226089239610835,0.000243090750298012
0.276714118,8.576931261,97.46024603,0.624038729,43.75881152,1.689780198,7.935119378,52.2162755592,2012,1932,3426405,23016,-37.6724441910355,-4.66746564539431,0.000563856286691153,0.00048650610425884
0.052980132,17.03343109,86.92501602,0.649673114,56.385375,10.69957611,9.316568725,49.2957746479,2012,46,122939,23017,-38.8882668837049,-6.75264702430574,0.000374169303475707,0.000352732688802147
1.25127745,29.44544533,58.36885266,0.599788759,68.28964471,27.54182572,8.045977011,33.6787564767,2012,68,241824,23018,-39.597082441293,-3.33224077194657,0.000281196241894932,0.000230923701181496
0.107451337,26.77793526,57.6412553,0.635094288,68.19671017,25.64328277,7.161959833,48.3516483516,2012,60,270921,23019,-38.9969505953544,-6.36645231732854,0.000221466774447164,0.000232418488899367
0.047463457,30.85244605,49.09922614,0.638653518,72.13744671,31.40013561,7.06496311,36.5079365079,2012,19,146511,23020,-41.0318002869086,-3.91407769443154,0.000129683095467235,0.000208213928713942
0.019768115,31.126818,50.9870266,0.632529874,68.88143816,32.2985887,5.909560032,46.7153284672,2012,52,218958,23021,-38.6789273691066,-3.89861435382283,0.000237488468108039,0.000187790193312487
0.07476022,22.59839853,58.0841326,0.644765911,64.15459203,15.40859497,9.6923844,40.6779661017,2012,18,111770,23022,-40.7117369366018,-3.50492764067503,0.000161045003131431,0.000267043856560072
0.033495601,23.97769595,58.75256002,0.596627652,60.62329201,15.50165971,7.710094269,48.5549132948,2012,54,317524,23023,-38.5218703119768,-4.44101513796298,0.000170065884783512,0.000222059635321742
0.028721418,26.488191,62.14836208,0.585584767,66.82230994,21.21563432,6.343128278,19.0476190476,2012,3,62808,23024,-40.1215645288565,-7.06494771452448,4.77646159724876e-05,0.000168981294631446
0.049475792,28.90296702,50.44881611,0.632665932,68.15057979,26.59289068,6.576250753,14.2857142857,2012,3,42749,23025,-38.1812827963083,-4.33679095871838,7.01770801656179e-05,0.000168342317127549
0.04262632,28.00545472,63.35662076,0.647015846,61.87275018,15.88929303,5.970216353,38.5135135135,2012,49,224865,23026,-39.4005849903719,-6.96914498595325,0.000217908522891513,0.000198278102998883
0.010341048,30.76344281,55.81994168,0.625061511,69.03606965,28.5991737,5.983245689,34.8837209302,2012,15,97444,23027,-39.4255578499171,-7.31133564374533,0.000153934567546488,0.000184858196899018
0.012352215,28.47141742,57.32662785,0.658471459,68.51432213,31.98054984,7.353830922,8.8235294118,2012,7,56787,23028,-39.3915587020206,-4.37498071227458,0.000123267649285928,0.000161900484693546
0.052430137,32.93683959,58.45226236,0.662246802,72.96526916,32.78240055,5.514297909,47.8260869565,2012,5,96261,23029,-38.9597265853821,-7.49337249666326,5.19421157062569e-05,0.000185399971421943
0.200404325,30.22907143,51.38261405,0.668869269,70.93895226,23.14149444,6.838398814,29.6296296296,2012,8,56914,23030,-38.84547381486,-4.4162602798787,0.000140562954633306,0.000230764599784189
0.057573074,27.52907416,53.44331267,0.675352675,73.38698934,32.83395755,7.140592301,30.6666666667,2012,25,91048,23031,-38.8208578493416,-7.1881979774416,0.000274580441086021,0.000211108359526152
0.119257347,18.36977387,80.16377759,0.680917583,59.95213635,11.48282839,8.664887507,40.7942238267,2012,148,544222,23032,-38.1822959540083,-5.0839287543043,0.00027194784481333,0.000337425767755089
0.041044739,25.38701793,57.11325345,0.699813042,67.14340275,24.76662992,8.376526971,61.6438356164,2012,19,101356,23033,-39.0799269441698,-3.53981853327918,0.000187458068589921,0.000296597328537979
0.064626863,15.73040834,85.77036723,0.65598836,43.67489266,5.067535205,10.55436745,15.5172413793,2012,114,341395,24001,-36.901058475795,-5.5824640806438,0.000333924046925116,0.000306527560708175
0.02346543,24.48114901,57.85746822,0.636859409,62.50536548,24.23188682,10.27366219,7.4074074074,2012,9,72774,24002,-37.8026244791631,-6.10708213933655,0.000123670541676973,0.000178887936103714
0.040982557,29.01997438,62.65720653,0.670540518,65.8157888,26.34208375,7.664609053,17.8571428571,2012,10,39342,24003,-38.3974023590042,-6.2467119527736,0.000254181282090387,0.000202563502941262
0.064041442,25.06626495,66.73047092,0.642203242,58.87873161,7.144830357,11.24657171,3.8961038961,2012,33,142922,24004,-36.6061805724985,-6.00162926097318,0.00023089517359119,0.000203163999795364
0.012747988,28.68508481,56.71739304,0.620915624,68.23749222,12.38425926,8.926692389,10,2012,5,63390,24005,-36.6556915844409,-6.50210383209877,7.88767944470737e-05,0.00017055492240481
0.034130589,25.70229403,71.10101779,0.625826566,59.99648614,13.59516616,9.37910985,19.5652173913,2012,11,115390,24006,-37.167715938491,-6.4892545387569,9.53288846520496e-05,0.000216111639234847
0.029237966,26.82877365,69.80487505,0.575327021,63.31120716,15.86459192,8.655510675,4.5454545455,2012,8,65130,24007,-38.0898771865516,-6.14685129289319,0.000122831260555811,0.000159144518030447
0.079987811,21.59032291,65.78616592,0.628514971,53.23003348,4.470254575,11.94357068,27.9069767442,2012,16,53735,24008,-35.2424119193583,-5.7953940230794,0.00029775751372476,0.00030113396036476
0.029237486,27.62823369,67.08638703,0.623842166,64.06988372,19.96207066,10.30720643,10,2012,11,51364,24009,-37.3108306447584,-5.12560626082094,0.000214157775874153,0.000195638987721988
0.01950395,26.56352004,51.36852713,0.59727273,66.04240225,19.09776167,7.452332657,0,2012,4,61658,24010,-37.293380665004,-5.81131913487865,6.48739822894028e-05,0.000126220153823223
